Storage_m3,Area_m2
0,0
13444952.03,678618.4403
16158612.07,1780595.174
21709280.34,1821063.246
29110171.37,2428084.328
36634410.58,2468552.4
45268783.44,2832765.049
54396549.04,2994637.337
65497885.57,3642126.491
76845918.48,3723062.636
89180736.85,4046807.213
102187802.8,4267358.206
116038570.4,4544159.819
123287743.1,4756617.198
124762987.4,4839981.426
126246866.1,4868309.077
127738145.6,4892589.92
129239293,4924964.378
130747841.3,4949245.221
132265024,4977572.872
133793308,5013994.136
135332693.3,5050415.401
136880713,5078743.052
137660273.5,5115164.317
138439834,5115164.317
140008822.9,5147538.774
141588913.2,5183960.039
143178871.3,5216334.497
144778697.2,5248708.955
146388391,5281083.412
148007952.7,5313457.87
149638615.6,5349879.135
151280380,5386300.4
154593512.2,5434862.087
163056431.1,5553028.857
171763579.4,5713282.423
180707556.2,5868679.82
